paths,xmin,ymin,xmax,ymax
n02085620-Chihuahua\n02085620_1298.jpg,0.3145833333333333,0.2822822822822823,0.9125,0.6906906906906907
n02085620-Chihuahua\n02085620_13151.jpg,0.352,0.08630952380952381,0.758,0.9910714285714286
n02085620-Chihuahua\n02085620_1321.jpg,0.222,0.12612612612612611,0.496,0.9429429429429429
n02085620-Chihuahua\n02085620_13383.jpg,0.31643002028397565,0.484,0.6774847870182555,0.996
n02085620-Chihuahua\n02085620_1346.jpg,0.0022222222222222222,0.025,0.96,0.9875
n02085620-Chihuahua\n02085620_13964.jpg,0.256,0.266,0.9946666666666667,0.99
n02085620-Chihuahua\n02085620_14252.jpg,0.3705357142857143,0.3273809523809524,0.7723214285714286,0.7380952380952381
n02085620-Chihuahua\n02085620_14413.jpg,0.221875,0.14419695193434937,0.853125,0.9964830011723329
n02085620-Chihuahua\n02085620_14516.jpg,0.0796875,0.004166666666666667,0.7609375,0.9958333333333333
n02085620-Chihuahua\n02085620_1455.jpg,0.18018018018018017,0.306,0.993993993993994,0.996
n02085620-Chihuahua\n02085620_1492.jpg,0.116,0.4294294294294294,0.38,0.996996996996997
n02085620-Chihuahua\n02085620_1502.jpg,0.102,0.03903903903903904,0.836,0.993993993993994
n02085620-Chihuahua\n02085620_1558.jpg,0.0,0.012,0.8934426229508197,0.986
n02085620-Chihuahua\n02085620_1569.jpg,0.08633093525179857,0.0364963503649635,0.9964028776978417,0.9963503649635036
n02085620-Chihuahua\n02085620_1617.jpg,0.0056022408963585435,0.025210084033613446,0.9971988795518207,0.9957983193277311
n02085620-Chihuahua\n02085620_1620.jpg,0.05,0.0,0.93,0.9973333333333333
n02085620-Chihuahua\n02085620_1765.jpg,0.14066496163682865,0.17,0.8363171355498721,0.874
n02085620-Chihuahua\n02085620_1816.jpg,0.0,0.037333333333333336,0.45,0.8666666666666667
n02085620-Chihuahua\n02085620_1862.jpg,0.4053333333333333,0.214,0.608,0.494
n02085620-Chihuahua\n02085620_1916.jpg,0.016,0.014141414141414142,0.912,0.802020202020202
n02085620-Chihuahua\n02085620_199.jpg,0.21666666666666667,0.11627906976744186,0.83,0.9395348837209302
n02085620-Chihuahua\n02085620_2053.jpg,0.352,0.19466666666666665,0.882,0.976
n02085620-Chihuahua\n02085620_2188.jpg,0.12266666666666666,0.196,0.872,0.996
n02085620-Chihuahua\n02085620_2204.jpg,0.534,0.22551928783382788,0.7,0.6617210682492581
n02085620-Chihuahua\n02085620_2208.jpg,0.356,0.384,0.462,0.664
n02085620-Chihuahua\n02085620_242.jpg,0.2825,0.09,0.92,0.972
n02085620-Chihuahua\n02085620_2479.jpg,0.12121212121212122,0.06374501992031872,0.7878787878787878,0.952191235059761
n02085620-Chihuahua\n02085620_2507.jpg,0.158,0.09333333333333334,0.648,0.8586666666666667
n02085620-Chihuahua\n02085620_2517.jpg,0.25,0.06933333333333333,0.744,0.8373333333333334
n02085620-Chihuahua\n02085620_2590.jpg,0.4486607142857143,0.2619047619047619,0.9308035714285714,0.7113095238095238
n02085620-Chihuahua\n02085620_2614.jpg,0.246,0.005333333333333333,0.61,0.9973333333333333
n02085620-Chihuahua\n02085620_2650.jpg,0.216,0.26126126126126126,0.81,0.9099099099099099
n02085620-Chihuahua\n02085620_2693.jpg,0.376,0.28,0.65,0.614
n02085620-Chihuahua\n02085620_2706.jpg,0.328125,0.1625,0.715625,0.9041666666666667
n02085620-Chihuahua\n02085620_275.jpg,0.358,0.15915915915915915,0.652,0.5735735735735735
n02085620-Chihuahua\n02085620_2793.jpg,0.06534090909090909,0.0,0.9971590909090909,0.9965277777777778
n02085620-Chihuahua\n02085620_2815.jpg,0.12,0.01,0.99,0.995
n02085620-Chihuahua\n02085620_2887.jpg,0.0463768115942029,0.06388888888888888,0.8376811594202899,0.9861111111111112
n02085620-Chihuahua\n02085620_2903.jpg,0.42,0.17117117117117117,0.936,0.996996996996997
n02085620-Chihuahua\n02085620_2921.jpg,0.12,0.06302521008403361,0.808,0.9411764705882353
n02085620-Chihuahua\n02085620_2937.jpg,0.33611111111111114,0.10256410256410256,0.7111111111111111,0.7032967032967034
n02085620-Chihuahua\n02085620_2973.jpg,0.18933333333333333,0.156,0.8533333333333334,0.9
n02085620-Chihuahua\n02085620_2981.jpg,0.665,0.5172981878088962,0.9366666666666666,0.8649093904448105
n02085620-Chihuahua\n02085620_3006.jpg,0.23306233062330622,0.084,0.964769647696477,0.984
n02085620-Chihuahua\n02085620_3033.jpg,0.328,0.36533333333333334,0.912,0.8933333333333333
n02085620-Chihuahua\n02085620_3045.jpg,0.22696629213483147,0.212,0.7146067415730337,0.686
n02085620-Chihuahua\n02085620_3093.jpg,0.41333333333333333,0.366,0.8533333333333334,0.854
n02085620-Chihuahua\n02085620_3110.jpg,0.21777777777777776,0.09467455621301775,0.6333333333333333,0.7633136094674556
n02085620-Chihuahua\n02085620_3208.jpg,0.2,0.056,0.902,0.9973333333333333
n02085620-Chihuahua\n02085620_326.jpg,0.0,0.132,0.7927927927927928,0.94
n02085620-Chihuahua\n02085620_3402.jpg,0.31,0.312,0.932,0.792
n02085620-Chihuahua\n02085620_3407.jpg,0.0,0.037333333333333336,0.956,0.8106666666666666
n02085620-Chihuahua\n02085620_3409.jpg,0.004,0.003003003003003003,0.778,0.993993993993994
n02085620-Chihuahua\n02085620_3423.jpg,0.135,0.10305343511450382,0.87,0.7480916030534351
n02085620-Chihuahua\n02085620_3485.jpg,0.078125,0.02821316614420063,0.88125,0.987460815047022
n02085620-Chihuahua\n02085620_3488.jpg,0.156,0.17866666666666667,0.848,0.8693333333333333
n02085620-Chihuahua\n02085620_3593.jpg,0.01,0.03056768558951965,0.995,0.9912663755458515
n02085620-Chihuahua\n02085620_3651.jpg,0.304,0.576,0.55,0.9866666666666667
n02085620-Chihuahua\n02085620_3677.jpg,0.134,0.064,0.998,0.8213333333333334
n02085620-Chihuahua\n02085620_368.jpg,0.31,0.07207207207207207,0.836,0.948948948948949
n02085620-Chihuahua\n02085620_3681.jpg,0.256,0.052,0.812,0.884
n02085620-Chihuahua\n02085620_3742.jpg,0.12020033388981637,0.056074766355140186,0.8981636060100167,0.9532710280373832
n02085620-Chihuahua\n02085620_3763.jpg,0.03821656050955414,0.0,0.8343949044585988,0.6208530805687204
n02085620-Chihuahua\n02085620_382.jpg,0.268,0.064,0.722,0.9946666666666667
n02085620-Chihuahua\n02085620_3826.jpg,0.004,0.0,0.908,0.996996996996997
n02085620-Chihuahua\n02085620_3838.jpg,0.16025641025641027,0.005813953488372093,0.7457264957264957,0.9418604651162791
n02085620-Chihuahua\n02085620_3875.jpg,0.25,0.042042042042042045,0.68,0.996996996996997
n02085620-Chihuahua\n02085620_3877.jpg,0.0,0.034,0.993993993993994,0.996
n02085620-Chihuahua\n02085620_3880.jpg,0.002785515320334262,0.126,0.7827298050139275,0.996
n02085620-Chihuahua\n02085620_3928.jpg,0.15,0.056,0.798,0.9973333333333333
n02085620-Chihuahua\n02085620_3942.jpg,0.02092050209205021,0.022,0.9205020920502092,0.996
n02085620-Chihuahua\n02085620_3975.jpg,0.13392857142857142,0.126,0.8154761904761905,0.926
n02085620-Chihuahua\n02085620_4016.jpg,0.003125,0.016666666666666666,0.9828125,0.9958333333333333
n02085620-Chihuahua\n02085620_4159.jpg,0.334,0.23423423423423423,0.574,0.9579579579579579
n02085620-Chihuahua\n02085620_4207.jpg,0.038,0.04804804804804805,0.928,0.9519519519519519
n02085620-Chihuahua\n02085620_4266.jpg,0.0,0.0,0.57,0.9973333333333333
n02085620-Chihuahua\n02085620_4290.jpg,0.10256410256410256,0.31,0.8262108262108262,0.916
n02085620-Chihuahua\n02085620_431.jpg,0.36,0.30133333333333334,0.774,0.96
n02085620-Chihuahua\n02085620_4441.jpg,0.2853333333333333,0.22,0.7893333333333333,0.802
n02085620-Chihuahua\n02085620_4515.jpg,0.188,0.32987012987012987,0.444,0.8493506493506493
n02085620-Chihuahua\n02085620_4572.jpg,0.134,0.33827160493827163,0.444,0.9382716049382716
n02085620-Chihuahua\n02085620_4602.jpg,0.37683823529411764,0.16993464052287582,0.7784926470588235,0.997140522875817
n02085620-Chihuahua\n02085620_4673.jpg,0.17,0.208,0.6,0.9946666666666667
n02085620-Chihuahua\n02085620_4700.jpg,0.08,0.064,0.992,0.996
n02085620-Chihuahua\n02085620_473.jpg,0.346,0.012012012012012012,0.766,0.7267267267267268
n02085620-Chihuahua\n02085620_477.jpg,0.418,0.017964071856287425,0.904,0.8502994011976048
n02085620-Chihuahua\n02085620_4814.jpg,0.10460251046025104,0.07539682539682539,0.9246861924686193,0.9444444444444444
n02085620-Chihuahua\n02085620_4875.jpg,0.034,0.006423982869379015,0.988,0.9785867237687366
n02085620-Chihuahua\n02085620_4919.jpg,0.041666666666666664,0.10679611650485436,0.75,0.9951456310679612
n02085620-Chihuahua\n02085620_4951.jpg,0.13,0.072,0.882,0.9306666666666666
n02085620-Chihuahua\n02085620_4980.jpg,0.306,0.27844311377245506,0.646,0.6137724550898204
n02085620-Chihuahua\n02085620_4998.jpg,0.258,0.33066666666666666,0.646,0.9973333333333333
n02085620-Chihuahua\n02085620_500.jpg,0.016,0.232,0.864,0.9066666666666666
n02085620-Chihuahua\n02085620_5093.jpg,0.25,0.21666666666666667,0.8214285714285714,0.8571428571428571
n02085620-Chihuahua\n02085620_5312.jpg,0.084,0.029411764705882353,0.998,0.9973262032085561
n02085620-Chihuahua\n02085620_5496.jpg,0.0,0.02702702702702703,0.568,0.996996996996997
n02085620-Chihuahua\n02085620_5661.jpg,0.228,0.48,0.506,0.8293333333333334
n02085620-Chihuahua\n02085620_5713.jpg,0.316,0.0345679012345679,0.964,0.9950617283950617
n02085620-Chihuahua\n02085620_574.jpg,0.122,0.17333333333333334,0.866,0.9973333333333333
n02085620-Chihuahua\n02085620_575.jpg,0.224,0.129973474801061,0.572,0.8673740053050398
n02085620-Chihuahua\n02085620_5771.jpg,0.4412811387900356,0.468,0.896797153024911,0.742
n02085620-Chihuahua\n02085620_588.jpg,0.23353293413173654,0.234,0.9610778443113772,0.946
n02085620-Chihuahua\n02085620_5927.jpg,0.08333333333333333,0.04666666666666667,0.6555555555555556,0.9933333333333333
n02085620-Chihuahua\n02085620_6295.jpg,0.20710059171597633,0.296,0.5295857988165681,0.86
n02085620-Chihuahua\n02085620_6399.jpg,0.3566666666666667,0.3111111111111111,0.7833333333333333,0.6533333333333333
n02085620-Chihuahua\n02085620_6931.jpg,0.192,0.26126126126126126,0.76,0.996996996996997
n02085620-Chihuahua\n02085620_7.jpg,0.284,0.005319148936170213,0.768,0.9574468085106383
n02085620-Chihuahua\n02085620_712.jpg,0.196,0.16266666666666665,0.698,0.8666666666666667
n02085620-Chihuahua\n02085620_7292.jpg,0.30666666666666664,0.03571428571428571,0.7733333333333333,0.8273809523809523
n02085620-Chihuahua\n02085620_730.jpg,0.354,0.35733333333333334,0.694,0.9786666666666667
n02085620-Chihuahua\n02085620_735.jpg,0.4125560538116592,0.24738675958188153,0.8295964125560538,0.9965156794425087
n02085620-Chihuahua\n02085620_7436.jpg,0.0,0.05,0.9946666666666667,0.996
n02085620-Chihuahua\n02085620_7440.jpg,0.042,0.0,0.946,0.9973333333333333
n02085620-Chihuahua\n02085620_7613.jpg,0.318,0.2916666666666667,0.734,0.8382352941176471
n02085620-Chihuahua\n02085620_7700.jpg,0.0,0.0,0.758,0.9973333333333333
n02085620-Chihuahua\n02085620_7738.jpg,0.238,0.27466666666666667,0.664,0.9466666666666667
n02085620-Chihuahua\n02085620_806.jpg,0.23625,0.5393258426966292,0.58,0.9044943820224719
n02085620-Chihuahua\n02085620_8420.jpg,0.106,0.20481927710843373,0.624,0.75
n02085620-Chihuahua\n02085620_8491.jpg,0.0425,0.04735376044568245,0.965,0.9526462395543176
n02085620-Chihuahua\n02085620_8558.jpg,0.22790697674418606,0.16355140186915887,0.7953488372093023,0.719626168224299
n02085620-Chihuahua\n02085620_8578.jpg,0.124,0.09915014164305949,0.672,0.9150141643059491
n02085620-Chihuahua\n02085620_8585.jpg,0.25,0.02710843373493976,0.642,0.8042168674698795
n02085620-Chihuahua\n02085620_8611.jpg,0.31626506024096385,0.03614457831325301,0.7650602409638554,0.8012048192771084
n02085620-Chihuahua\n02085620_8636.jpg,0.09,0.3466666666666667,0.408,0.6986666666666667
n02085620-Chihuahua\n02085620_8637.jpg,0.286,0.12266666666666666,0.914,0.8026666666666666
n02085620-Chihuahua\n02085620_9351.jpg,0.278,0.032,0.718,0.872
n02085620-Chihuahua\n02085620_9357.jpg,0.126,0.28213166144200624,0.836,0.7774294670846394
n02085620-Chihuahua\n02085620_9399.jpg,0.298,0.19733333333333333,0.572,0.664
n02085620-Chihuahua\n02085620_9414.jpg,0.084,0.0,0.686,0.7493333333333333
n02085620-Chihuahua\n02085620_949.jpg,0.0199501246882793,0.0440771349862259,0.9326683291770573,0.9834710743801653
n02085620-Chihuahua\n02085620_952.jpg,0.25721153846153844,0.05471698113207547,0.8894230769230769,0.939622641509434
n02085620-Chihuahua\n02085620_9654.jpg,0.0,0.072,0.911062906724512,0.996
n02085782-Japanese_spaniel\n02085782_1039.jpg,0.002,0.0026666666666666666,0.748,0.9973333333333333
n02085782-Japanese_spaniel\n02085782_1058.jpg,0.3416666666666667,0.29120879120879123,0.7041666666666667,0.6978021978021978
n02085782-Japanese_spaniel\n02085782_1059.jpg,0.2581818181818182,0.01937046004842615,0.6563636363636364,0.9927360774818402
n02085782-Japanese_spaniel\n02085782_1077.jpg,0.05202312138728324,0.10778443113772455,0.9730250481695568,0.9461077844311377
n02085782-Japanese_spaniel\n02085782_1085.jpg,0.038461538461538464,0.006042296072507553,0.95,0.9758308157099698
n02085782-Japanese_spaniel\n02085782_1143.jpg,0.13636363636363635,0.014018691588785047,0.9590909090909091,0.9813084112149533
n02085782-Japanese_spaniel\n02085782_1156.jpg,0.14375,0.11458333333333333,0.6609375,0.7395833333333334
n02085782-Japanese_spaniel\n02085782_1191.jpg,0.33002481389578164,0.17218543046357615,0.7543424317617866,0.9834437086092715
n02085782-Japanese_spaniel\n02085782_1224.jpg,0.15714285714285714,0.13333333333333333,0.8142857142857143,0.8809523809523809
n02085782-Japanese_spaniel\n02085782_126.jpg,0.09839816933638444,0.07068062827225131,0.8878718535469108,0.9057591623036649
n02085782-Japanese_spaniel\n02085782_1267.jpg,0.08666666666666667,0.04854368932038835,0.9266666666666666,0.9514563106796117
n02085782-Japanese_spaniel\n02085782_1284.jpg,0.0453125,0.20250521920668058,0.8421875,0.7891440501043842
n02085782-Japanese_spaniel\n02085782_1348.jpg,0.0033333333333333335,0.25223214285714285,0.7566666666666667,0.8459821428571429
n02085782-Japanese_spaniel\n02085782_1350.jpg,0.2710843373493976,0.07339449541284404,0.6174698795180723,0.6009174311926605
n02085782-Japanese_spaniel\n02085782_1353.jpg,0.3625,0.10416666666666667,0.934375,0.9958333333333333
n02085782-Japanese_spaniel\n02085782_1401.jpg,0.08421052631578947,0.07142857142857142,0.9315789473684211,0.8928571428571429
n02085782-Japanese_spaniel\n02085782_1425.jpg,0.08,0.02,0.944,0.99
n02085782-Japanese_spaniel\n02085782_143.jpg,0.0,0.022304832713754646,0.996,0.9962825278810409
n02085782-Japanese_spaniel\n02085782_1434.jpg,0.021875,0.06997084548104957,0.90625,0.9300291545189504
n02085782-Japanese_spaniel\n02085782_1460.jpg,0.26256983240223464,0.08378378378378379,0.8519553072625698,0.9486486486486486
n02085782-Japanese_spaniel\n02085782_1503.jpg,0.12037037037037036,0.0763888888888889,0.8564814814814815,0.9965277777777778
n02085782-Japanese_spaniel\n02085782_1521.jpg,0.010471204188481676,0.016853932584269662,0.9895287958115183,0.949438202247191
n02085782-Japanese_spaniel\n02085782_1528.jpg,0.18272425249169436,0.04797047970479705,0.9102990033222591,0.996309963099631
n02085782-Japanese_spaniel\n02085782_1552.jpg,0.0,0.034782608695652174,0.8611111111111112,0.9956521739130435
n02085782-Japanese_spaniel\n02085782_1600.jpg,0.0,0.20642201834862386,0.588,0.9954128440366973
n02085782-Japanese_spaniel\n02085782_1610.jpg,0.04,0.05583756345177665,0.992,0.9543147208121827
n02085782-Japanese_spaniel\n02085782_1626.jpg,0.03877221324717286,0.03434343434343434,0.875605815831987,0.9717171717171718
n02085782-Japanese_spaniel\n02085782_1656.jpg,0.030434782608695653,0.031055900621118012,0.9565217391304348,0.9565217391304348
n02085782-Japanese_spaniel\n02085782_1665.jpg,0.38666666666666666,0.10666666666666667,0.6066666666666667,0.4177777777777778
n02085782-Japanese_spaniel\n02085782_1691.jpg,0.10666666666666667,0.3890784982935154,0.8977777777777778,0.9146757679180887
n02085782-Japanese_spaniel\n02085782_17.jpg,0.12213740458015267,0.24,0.9338422391857506,0.8635294117647059
n02085782-Japanese_spaniel\n02085782_172.jpg,0.095,0.14666666666666667,0.995,0.9533333333333334
n02085782-Japanese_spaniel\n02085782_1724.jpg,0.112,0.058666666666666666,0.998,0.9973333333333333
n02085782-Japanese_spaniel\n02085782_1731.jpg,0.03833333333333333,0.0,0.9966666666666667,0.9688195991091314
n02085782-Japanese_spaniel\n02085782_1750.jpg,0.182,0.14666666666666667,0.966,0.9226666666666666
n02085782-Japanese_spaniel\n02085782_1764.jpg,0.0725,0.09316770186335403,0.925,0.8975155279503105
n02085782-Japanese_spaniel\n02085782_1774.jpg,0.0,0.12444444444444444,0.986013986013986,0.6622222222222223
n02085782-Japanese_spaniel\n02085782_1778.jpg,0.046875,0.21458333333333332,0.6125,0.7895833333333333
n02085782-Japanese_spaniel\n02085782_1782.jpg,0.0033333333333333335,0.018796992481203006,0.9733333333333334,0.9661654135338346
n02085782-Japanese_spaniel\n02085782_1836.jpg,0.24,0.06666666666666667,0.78125,0.995
n02085782-Japanese_spaniel\n02085782_1848.jpg,0.11333333333333333,0.0022222222222222222,0.9966666666666667,0.9955555555555555
n02085782-Japanese_spaniel\n02085782_1855.jpg,0.11163895486935867,0.04197530864197531,0.8598574821852731,0.9901234567901235
n02085782-Japanese_spaniel\n02085782_186.jpg,0.04,0.07507507507507508,0.784,0.8408408408408409
n02085782-Japanese_spaniel\n02085782_1890.jpg,0.1,0.07777777777777778,0.8722222222222222,0.95
n02085782-Japanese_spaniel\n02085782_191.jpg,0.11333333333333333,0.06437768240343347,0.92,0.9656652360515021
n02085782-Japanese_spaniel\n02085782_1929.jpg,0.23666666666666666,0.008888888888888889,0.64,0.9911111111111112
n02085782-Japanese_spaniel\n02085782_1949.jpg,0.052083333333333336,0.12931034482758622,0.8784722222222222,0.9612068965517241
n02085782-Japanese_spaniel\n02085782_1964.jpg,0.00625,0.05913978494623656,0.8765625,0.9767025089605734
n02085782-Japanese_spaniel\n02085782_2.jpg,0.178743961352657,0.12080536912751678,0.8381642512077294,0.8489932885906041
n02085782-Japanese_spaniel\n02085782_2010.jpg,0.33,0.31645569620253167,0.5366666666666666,0.679324894514768
n02085782-Japanese_spaniel\n02085782_2014.jpg,0.11666666666666667,0.031818181818181815,0.9944444444444445,0.9954545454545455
n02085782-Japanese_spaniel\n02085782_2045.jpg,0.010582010582010581,0.0231023102310231,0.9973544973544973,0.9405940594059405
n02085782-Japanese_spaniel\n02085782_2074.jpg,0.19310344827586207,0.12286689419795221,0.7517241379310344,0.9453924914675768
n02085782-Japanese_spaniel\n02085782_2100.jpg,0.5475113122171946,0.17328519855595667,0.9932126696832579,0.8014440433212996
n02085782-Japanese_spaniel\n02085782_2118.jpg,0.21333333333333335,0.10344827586206896,0.8933333333333333,0.896551724137931
n02085782-Japanese_spaniel\n02085782_2128.jpg,0.0021141649048625794,0.0028169014084507044,0.8266384778012685,0.9971830985915493
n02085782-Japanese_spaniel\n02085782_2162.jpg,0.12222222222222222,0.036231884057971016,0.8888888888888888,0.9420289855072463
n02085782-Japanese_spaniel\n02085782_2182.jpg,0.0575,0.023728813559322035,0.98,0.9355932203389831
n02085782-Japanese_spaniel\n02085782_2207.jpg,0.17066666666666666,0.022151898734177215,0.5653333333333334,0.7563291139240507
n02085782-Japanese_spaniel\n02085782_2241.jpg,0.16574585635359115,0.07459207459207459,0.8342541436464088,0.9230769230769231
n02085782-Japanese_spaniel\n02085782_2250.jpg,0.01,0.0,0.9966666666666667,0.99
n02085782-Japanese_spaniel\n02085782_2255.jpg,0.0875,0.04642857142857143,0.853125,0.8964285714285715
n02085782-Japanese_spaniel\n02085782_2269.jpg,0.30625,0.17916666666666667,0.7875,0.9416666666666667
n02085782-Japanese_spaniel\n02085782_2279.jpg,0.2,0.023696682464454975,0.812,0.976303317535545
n02085782-Japanese_spaniel\n02085782_2293.jpg,0.05405405405405406,0.011695906432748537,0.9864864864864865,0.9707602339181286
n02085782-Japanese_spaniel\n02085782_23.jpg,0.228125,0.0633245382585752,0.796875,0.6728232189973615
n02085782-Japanese_spaniel\n02085782_230.jpg,0.29493087557603687,0.23696682464454977,0.9262672811059908,0.9146919431279621
n02085782-Japanese_spaniel\n02085782_2323.jpg,0.065,0.16,0.925,0.8733333333333333
n02085782-Japanese_spaniel\n02085782_2345.jpg,0.004,0.0665083135391924,0.92,0.995249406175772
n02085782-Japanese_spaniel\n02085782_2354.jpg,0.02666666666666667,0.0022271714922048997,0.5833333333333334,0.7706013363028953
n02085782-Japanese_spaniel\n02085782_2428.jpg,0.03,0.0275,0.9766666666666667,0.9975
n02085782-Japanese_spaniel\n02085782_2459.jpg,0.05825242718446602,0.0515695067264574,0.9281553398058252,0.9573991031390134
n02085782-Japanese_spaniel\n02085782_2491.jpg,0.13212435233160622,0.05154639175257732,0.8860103626943006,0.9656357388316151
n02085782-Japanese_spaniel\n02085782_2549.jpg,0.08571428571428572,0.02981029810298103,0.9371428571428572,0.994579945799458
n02085782-Japanese_spaniel\n02085782_2584.jpg,0.0,0.12694877505567928,0.97,0.9955456570155902
n02085782-Japanese_spaniel\n02085782_2635.jpg,0.0,0.10625,0.646875,0.8666666666666667
n02085782-Japanese_spaniel\n02085782_2640.jpg,0.055,0.07894736842105263,0.9525,0.9511278195488722
n02085782-Japanese_spaniel\n02085782_2655.jpg,0.02857142857142857,0.020460358056265986,0.9766233766233766,0.9820971867007673
n02085782-Japanese_spaniel\n02085782_267.jpg,0.14099783080260303,0.1752021563342318,0.8329718004338394,0.9272237196765498
n02085782-Japanese_spaniel\n02085782_2690.jpg,0.016981132075471698,0.010075566750629723,0.9886792452830189,0.9899244332493703
n02085782-Japanese_spaniel\n02085782_2695.jpg,0.38345864661654133,0.20392156862745098,0.7593984962406015,0.8431372549019608
n02085782-Japanese_spaniel\n02085782_2715.jpg,0.12916666666666668,0.12833333333333333,0.9,0.8983333333333333
n02085782-Japanese_spaniel\n02085782_2762.jpg,0.17522658610271905,0.195906432748538,0.9274924471299094,0.8713450292397661
n02085782-Japanese_spaniel\n02085782_2796.jpg,0.015584415584415584,0.02557544757033248,0.974025974025974,0.9820971867007673
n02085782-Japanese_spaniel\n02085782_28.jpg,0.058666666666666666,0.024734982332155476,0.8586666666666667,0.9222614840989399
n02085782-Japanese_spaniel\n02085782_2874.jpg,0.17962466487935658,0.1447721179624665,0.7587131367292225,0.8820375335120644
n02085782-Japanese_spaniel\n02085782_2886.jpg,0.5857142857142857,0.07352941176470588,0.9171428571428571,0.8125
n02085782-Japanese_spaniel\n02085782_2914.jpg,0.3283333333333333,0.4375,0.75,0.8683035714285714
n02085782-Japanese_spaniel\n02085782_2922.jpg,0.035,0.035,0.98,0.965
n02085782-Japanese_spaniel\n02085782_2939.jpg,0.295,0.015590200445434299,0.9966666666666667,0.6013363028953229
n02085782-Japanese_spaniel\n02085782_2978.jpg,0.15546218487394958,0.03323262839879154,0.5294117647058824,0.8549848942598187
n02085782-Japanese_spaniel\n02085782_3019.jpg,0.2375,0.29891304347826086,0.5083333333333333,0.967391304347826
n02085782-Japanese_spaniel\n02085782_3021.jpg,0.0033333333333333335,0.03854389721627409,0.945,0.9935760171306209
n02085782-Japanese_spaniel\n02085782_3030.jpg,0.1609375,0.10659186535764376,0.8796875,0.8162692847124825
n02085782-Japanese_spaniel\n02085782_3031.jpg,0.03333333333333333,0.2,0.76,0.8470588235294118
n02085782-Japanese_spaniel\n02085782_3052.jpg,0.09722222222222222,0.07671232876712329,0.875,0.9506849315068493
n02085782-Japanese_spaniel\n02085782_3065.jpg,0.006666666666666667,0.007575757575757576,0.9933333333333333,0.9924242424242424
n02085782-Japanese_spaniel\n02085782_3071.jpg,0.48333333333333334,0.10135135135135136,0.9,0.9932432432432432
n02085782-Japanese_spaniel\n02085782_309.jpg,0.115,0.03783783783783784,0.995,0.9945945945945946
n02085782-Japanese_spaniel\n02085782_3098.jpg,0.41714285714285715,0.04747774480712166,0.9485714285714286,0.8308605341246291
n02085782-Japanese_spaniel\n02085782_3121.jpg,0.04482758620689655,0.037383177570093455,0.9620689655172414,0.940809968847352
n02085782-Japanese_spaniel\n02085782_313.jpg,0.0975,0.0469208211143695,0.9525,0.9970674486803519
n02085782-Japanese_spaniel\n02085782_3148.jpg,0.16833333333333333,0.16354556803995007,0.995,0.9962546816479401
n02085782-Japanese_spaniel\n02085782_3158.jpg,0.011015911872705019,0.02564102564102564,0.408812729498164,0.9813519813519813
n02085782-Japanese_spaniel\n02085782_3215.jpg,0.08,0.15867158671586715,0.9433333333333334,0.7970479704797048
n02085782-Japanese_spaniel\n02085782_3325.jpg,0.10833333333333334,0.008908685968819599,0.8966666666666666,0.9933184855233853
n02085782-Japanese_spaniel\n02085782_3331.jpg,0.14181818181818182,0.23232323232323232,0.8,0.8282828282828283
n02085782-Japanese_spaniel\n02085782_3354.jpg,0.04285714285714286,0.19402985074626866,0.9114285714285715,0.8400852878464818
